Column1,운용사,상품명,기간별수익률(1개월),기간별수익률(3개월),기간별수익률(6개월),기간별수익률(1년),기간별수익률(2년),기간별수익률(3년),위험등급,참고지수,위험등급(num),군집,지수1,비중1,지수2,비중2,매핑지수,지수수익률,티커,지수_연환산수익률,지수_연환산변동성
0,IBK자산운용,IBK골드마이닝증권자투자신탁1[주식]종류C-Re,2.25,19.94,33.67,39.77,64.18,70.72,매우높은위험,MSCI ACWI Materials,5,4,MSCI ACWI Materials,1.0,,,MXI,0.879995654,MXI,0.34140510075921504,0.42459530123262507
1,삼성자산운용,삼성글로벌메타버스증권자투자신탁UH[주식]_Cpe(퇴직연금),5.86,-2.8,6.85,24.87,66.78,82.4,높은위험,"MSCI ACWI (KRW) ×90% +
Call ×10%",3,2,MSCI ACWI (KRW),0.9,,,ACWI,0.879995654,ACWI,0.6018306847094427,0.3612742584138948
2,삼성자산운용,삼성글로벌메타버스증권자투자신탁H[주식]_Cpe(퇴직연금),8.95,0.14,6.83,21.45,53.39,56.3,높은위험,MSCI ACWI(USD) 90% + CALL 10%,3,2,MSCI ACWI(USD),0.9,,,ACWI,0.879995654,ACWI,0.6018306847094427,0.3612742584138948
3,피델리티자산운용,피델리티글로벌금융주증권자투자신탁CP(주식-재간접형),4.86,1.52,3.96,20.38,49.44,49.57,높은위험,MSCI ACWI Financials,3,2,MSCI ACWI Financials,1.0,,,IXG,0.879995654,IXG,0.7012470124928312,0.3821599997254254
4,하나자산운용,하나글로벌인프라증권자투자신탁[주식]ClassC-P2E,-1.41,3.91,0.8,19.33,24.28,10.51,높은위험,MSCI ACWI INFRASTRUCTURE,3,2,MSCI ACWI INFRASTRUCTURE,1.0,,,IGF,0.879995654,IGF,0.8121062203144132,0.309098299050648
5,하나자산운용,하나글로벌인프라증권자투자신탁[주식]ClassC-P2,-1.43,3.84,0.67,19.03,23.63,9.63,높은위험,MSCI ACWI INFRASTRUCTURE,3,2,MSCI ACWI INFRASTRUCTURE,1.0,,,IGF,0.879995654,IGF,0.8121062203144132,0.309098299050648
6,삼성자산운용,삼성아세안증권자투자신탁2[주식](Cpe(퇴직연금)),-0.35,-2.13,0.96,17.32,27.81,34.36,다소높은위험,MSCI South East Asia(원화환 산) 95% + Call 5%,4,0,MSCI South East Asia(원화환 산),0.95,,,ASEA,0.554879054,ASEA,0.5348003069025964,0.31678960297925207
7,삼성자산운용,삼성아세안증권자투자신탁2[주식](Cp(퇴직연금)),-0.38,-2.21,0.79,16.91,26.92,32.93,다소높은위험,MSCI South East Asia(원화환 산) 95% + Call 5%,4,0,MSCI South East Asia(원화환 산),0.95,,,ASEA,0.554879054,ASEA,0.5348003069025964,0.31678960297925207
8,키움투자자산운용,키움글로벌차세대IT&네트워크증권자투자신탁(UH)[주식]C-P2e(퇴직연금),7.92,-2.1,3.68,15.23,63.67,80.49,높은위험,"MSCI WI (KRW) ×90% + Call
×10%",3,2,MSCI WI (KRW),0.9,,,URTH,0.969399983,URTH,0.6769819216947921,0.36825501155483137
9,키움투자자산운용,키움글로벌차세대IT&네트워크증권자투자신탁(UH)[주식]C-P2(퇴직연금),7.89,-2.17,3.54,14.91,62.78,79.01,높은위험,"MSCI WI (KRW) ×90% + Call
×10%",3,2,MSCI WI (KRW),0.9,,,URTH,0.969399983,URTH,0.6769819216947921,0.36825501155483137
