title,link,content
IRP 계좌 만들기 잘 아시는 분 저 퇴직금 받을 수 있게 도와주세용 ㅠㅠ,https://cafe.daum.net/dotax/D8UA/5690766?q=irp,"오늘 하루종일 붙잡고 씨름중인데
 도저히 이해가 안돼서
 아까 글 올렸었는데
 너무 겁먹지말고 그냥 다 진행하면 된다고들 하시고
 유튜브도 찾아보니까
 DC형이고 재테크 1도 모르면
 일단은  원리금 보장상품 중에서 금리 제일 높은 걸로 선택하고
 그 후에 투자 공부 시작하라고 해서
  원리금 보장상품 중에서 제일 금리 높은 거 선택까진 했는데요
    이런 메세지가 떠요. 운용비율을 뭐 
 이건 뭐 어떻게 해야할지 챗지티피랑 유튜브에 검색도 해보고 지인들한테 물어도 보고 있는데 다 모르겠데요
 겁먹지 말고 하라고 하시는데
 저 진짜 단 한 번도 지각도 안 하고  시키는 거 다 하고
 주말에도 나오라고 하면 불평불만 1도 안하고  다 나갔는데
 3년 넘게 일한 퇴직금 날리는 걸까봐 저 너무 무서움.
 "
"IRP 계좌 출금, 해지방법",https://cafe.daum.net/getmoney114/WJvX/2?q=irp,"💰 IRP 계좌 출금, 해지, 해지방법, 지금 바로 확인하세요! 📈
 IRP 계좌에서 돈을 인출하고 싶으신가요? IRP 계좌 출금, 해지 방법은 물론, 퇴직 후 IRP 계좌 출금, 해지방법, 그리고 IRP 퇴직연금 계좌 퇴직금 출금, 해지 방법까지 모든 것을 알려드릴게요. 복잡하게 느껴지는 IRP 계좌 출금, 해지, 이제 헤매지 마세요! 현명한 노후 자산 관리의 시작은 정확한 출금, 해지 방법을 아는 것부터!
 지금 바로 방문해서 IRP 계좌 출금, 해지의 모든 궁금증을 해결하고, 원하는 시기에 자산을 활용하세요!
👇 여기를 클릭! (클릭하시면 상세 정보를 보실 수 있어요!)
💰 IRP 계좌 출금, 세금 폭탄 피하려면? (2025년 조건, 세금, 수수료, 중도해지까지 완벽 가이드)
안녕하세요, 든든하게 모아둔 IRP 계좌의 자금을 출금할 시기가 다가오면서 IRP 계좌 출금 방법에 대해 알아보고 계신 여러분의 블로그 지기입니다! 💖 'irp 계좌 출금 세금', 'irp 계좌 출금 수수료
hyper-world.co.kr
         **IRP 계좌(개인형 퇴직연금)**는 노후 준비의 핵심이자 세금 혜택을 주는 '마법의 통장'이지만, IRP 계좌 출금방법은 일반 예금 통장과는 매우 다릅니다. 특히 퇴직금을 IRP 퇴직연금계좌로 받은 후 출금하는 방법이나, 만 55세 이전 IRP 계좌 출금을 해야 할 경우 발생하는 세금 문제 때문에 많은 분들이 혼란스러워 하십니다.
이 글에서는 2025년 현재, IRP 계좌 출금방법을 만 55세 이후 연금 수령(가장 유리)부터 퇴직후 IRP 계좌 퇴직금 출금방법, 그리고 불가피한 중도 인출 시 세금과 수수료까지 모든 궁금증을 상세히 알려드립니다. 세금 폭탄을 피하고 당신의 소중한 퇴직금을 가장 효율적으로 활용하는 현명한 전략을 지금 바로 확인하세요!
1. IRP 계좌 출금의 기본 원칙: 만 55세 이후 연금 수령이 '베스트'!
IRP 계좌는 '개인형 퇴직연금'이라는 이름처럼, 만 55세 이후 연금으로 수령하는 것이 가장 큰 세금 혜택을 받을 수 있는 기본 원칙이자 가장 유리한 IRP 계좌 출금방법입니다. 이는 노후 소득 보장을 위한 제도의 취지 때문입니다.
퇴직금의 IRP 계좌 입금 의무화: 2022년 4월부터 퇴직금을 받을 때 300만 원 이하 또는 만 55세 이상 퇴직 등의 특정 예외를 제외하고는 반드시 IRP 계좌로 입금됩니다. 이는 퇴직금이 즉시 소비되지 않고 노후 자금으로 활용되도록 유도하는 것입니다.
2. 퇴직 후 IRP 계좌 퇴직금 출금 방법 (만 55세 기준)
퇴직후 IRP 계좌 퇴직금 출금방법은 당신의 나이가 만 55세를 기준으로 크게 달라집니다.
가. 만 55세 이후 퇴직금 출금 방법 (가장 유리한 연금 수령):
만 55세 이상인 분들은 IRP 계좌에 적립된 퇴직금을 '연금' 형태로 수령할 수 있습니다. 이것이 세금을 최소화하는 가장 좋은 IRP 계좌 출금방법입니다.
연금 수령 신청: IRP 계좌를 개설한 금융기관(은행 또는 증권사)에 방문하거나, 모바일 앱, 온라인 웹사이트를 통해 연금 수령을 신청합니다.
수령 방식 선택:
연금 개시 연령: 만 55세 이상부터 수령 가능합니다.
연금 수령 기간: 최소 5년 이상으로 설정해야 연금으로 인정되어 낮은 연금소득세율이 적용됩니다. (수령 기간이 짧을수록 세금 부담 증가)
수령 주기: 매월, 분기별, 연 단위 등 원하는 주기로 설정 가능합니다.
세금 적용 (저율 과세 혜택!):
연금으로 수령 시, 납입 기간과 수령 연령에 따라 3.3% ~ 5.5%의 낮은 연금소득세율이 적용됩니다.
특히 퇴직금을 IRP 계좌로 받았다면, 연금으로 수령 시 원 퇴직소득세의 30~40%를 감면받는 파격적인 혜택이 있습니다. 이는 퇴직금을 일시금으로 받는 것보다 훨씬 유리합니다.
나. 만 55세 이전 퇴직금 출금 방법 (원칙적 불가, 예외적 인출 가능!):
만 55세가 되기 전에 퇴직금 등 IRP 계좌의 적립금을 출금해야 하는 경우는 원칙적으로 불가하지만, 법에서 정한 특별한 사유에 한해서만 중도 인출이 허용됩니다. 이 경우 상당한 세금 불이익이 발생하므로 신중해야 합니다.
중도 인출 사유 (세금 혜택 유지 가능):
무주택자의 주택 구입: 무주택자가 본인 명의로 주택을 구입하거나 전세보증금이 필요한 경우 (주택 매매계약서, 임대차계약서 등 증빙 필요)
천재지변 등 재해: 자연재해 또는 사회재난으로 인한 피해 발생 시
개인회생 또는 파산: 법원의 개인회생 인가 또는 파산 선고를 받은 경우
장기 요양: 가입자 또는 배우자, 부양가족이 3개월 이상 요양을 필요로 하는 경우 (진단서, 입원 확인서 등)
사회재난 피해: 감염병 확산 등 사회재난으로 인한 중대한 피해 발생 시
기타 보건복지부령으로 정하는 사유: 소액 인출 등 일부 예외
중도 인출 절차: 해당 사유를 증명할 수 있는 서류를 가지고 IRP 계좌를 개설한 금융기관에 방문하여 신청합니다.
3. IRP 계좌 출금 시 세금과 수수료는 얼마? (중도 해지 및 인출의 '세금 폭탄' 주의!)
IRP 계좌를 만 55세 이전에 특별한 사유로 중도 인출하거나, 아예 해지할 경우 연금으로 수령할 때의 혜택이 모두 사라지고, 상당한 세금과 수수료가 부과됩니다.
가. 세금 (중도 해지/인출 시):
기타소득세 (16.5%):
중도 해지 시 납입 원금에서 발생한 모든 운용 수익(이자, 배당, 투자 수익 등)에 대해 16.5%의 기타소득세가 부과됩니다. 이는 연금으로 수령 시의 낮은 연금소득세율(3.3%~5.5%)과 비교하면 매우 높은 세율입니다.
과거에 IRP 납입액에 대해 세액공제를 받은 적이 있다면, 그 세액공제 받은 금액까지도 해지 시 과세 대상에 포함될 수 있습니다. (세액공제 받은 원금 + 운용 수익에 기타소득세 부과)
퇴직소득세 (감면 혜택 상실!):
퇴직금이 IRP로 입금된 후 연금으로 수령하지 않고 만 55세 이전에 중도 해지할 경우, 원래 퇴직소득세의 30~40% 감면 혜택 없이 원 퇴직소득세가 전액 부과됩니다.
나. 수수료:
운용/자산 관리 수수료: 해지 시점까지의 미납된 운용 및 자산관리 수수료가 발생할 수 있습니다. (최근에는 비대면 개설 시 수수료 면제/할인 이벤트를 진행하는 금융기관이 많음)
중도 해지 수수료: 대부분의 금융기관에서는 중도 해지 시 별도의 수수료를 부과하지 않습니다. (다만 세금 불이익이 훨씬 큼.)
세금 폭탄을 피하는 현명한 전략:
최대한 만 55세까지 유지: 세금 혜택을 온전히 받기 위해서는 만 55세 이후 연금으로 수령하는 것을 목표로 해야 합니다.
'특별한 사유' 확인: 만 55세 이전에 불가피하게 인출해야 한다면, 반드시 법에서 정한 '특별한 사유'에 해당하는지 확인하고 증빙 서류를 준비해야 합니다.
납입 중단 고려: 당장 납입이 어렵다면 해지 대신 납입을 일시적으로 중단하는 방법을 고려하세요. 기존 적립금은 계속 운용되며 세금 불이익은 피할 수 있습니다.
담보대출 활용: 일부 금융기관에서는 IRP 적립금을 담보로 대출을 받을 수 있는 서비스를 제공합니다. 중도 해지보다는 훨씬 유리한 방법입니다.
IRP 계좌 이전: 계좌를 해지하지 않고 다른 금융기관으로 IRP 계좌를 이전하는 것은 세금 불이익 없이 가능합니다.
마무리하며:
2025년 IRP 계좌 출금방법은 만 55세 이후 연금 수령이 가장 유리하며, 퇴직후 IRP 계좌 퇴직금 출금방법 또한 연금 수령 시 세금 감면 혜택이 매우 크다는 점을 기억해야 합니다. 불가피한 IRP 계좌 출금 (중도 인출) 상황에서는 법에서 정한 '특별한 사유'에 해당하는지 확인하고, 세금 폭탄을 피하는 현명한 전략을 선택하는 것이 중요합니다. 당신의 소중한 퇴직금과 노후 자산을 가장 효율적으로 관리하고 활용하여 풍요로운 미래를 준비하시길 바랍니다. 궁금한 점이 있다면 본인의 IRP 계좌를 관리하는 금융기관 또는 금융감독원(국번없이 1332)에 문의하여 정확한 상담을 받으세요.
 "
"ISA, IRP, 연금저축계좌로 해외간접투자 하지마세요, ISA의 소득세제혜택 사라지고 건강보험료 적용됩니다.",https://cafe.daum.net/dobongbak/OKcO/4?q=irp," 
 
 
 
2025년 2월 4일 시행된 세제개편안은 
2021년자 발효된 외국납부세액 공제제도입니다. 이 법안이 3년간 시행이 유예되었다가
올해 금융투자자들에 대한 세제혜택 축소 및 폐지로 공식화되었는데요
2020년부터 2024년까지 언론과 기재부 산하 블로그, 재태크 유튜브에서
전국민 노후소득을 책임지겠다며 사회초년생부터 퇴직예정자까지 딱 3년 가입유지를 강조하며 추천한
ISA, IRP, 연금저축 절세계좌 상품들이 직접투자계좌 과세방침과 다를 것이 없어졌습니다.
 
 2025년부터 ISA계좌의 해외소득 세제혜택 철폐
한때 절세계좌라 불렸던 ISA는
해외펀드(해외간접투자)에서 발생하는 배당소득의 외국납부세금을 투자신탁회사 대신 국세청이 납부하고
증권회사가 투자자에게  9.9%로 부담을 줄여 저율과세하는 선환급 후 원천징수가 사라졌습니다.
ISA의 최대 장점이었던 과세이연과 외국세액환급 혜택이 사라져
기존 9.9% 분리과세가 사라지고 일반계좌처럼 배당금 수령즉시 15% 원천징수합니다. 
5.1% 비과세를 만기까지 이연하는 절세효과가 사라진것입니다. 
앞으로 미국 ETF 투자자는 분배금을 받을때마다 미국 외국소득세율 (15%) 그대로 원천징수 받게 됩니다.
     조세특례제한법이 개정되면 ISA계좌 만기일이 길수록 손해입니다. 
현행법에서는 ISA계좌로 얻은 배당과 분배금 소득에 대해 건강보험료 산정 대상에서 제외하고 있습니다. 
배당소득의 산정예외는 조세특례제한법에 따른 보건복지부와 건강보험공단의 재량적 배려입니다.
그런데 몇몇 가입자는 종합과세대상자의 기준을 넘기지 않으면서 9.9% 분리과세 혜택을 최대한 누리겠다고
ISA 만기일을 최장 9999년으로 잡는 경우가 있습니다.
그렇게 하면 차후 건보료 산정의 대상이 될수 있음을 인지하셔야합니다.
건강보험공단의 당기수지 적자가 2026년으로 예상되고있는데요  
조만간 재정순적자로 건강보험료 산정확대가 불가피해질것입니다. 
건강보험료 산정기준에 배당소득을 포함하겠다는 조세특례제한법 개정법이 통과가 됐을때,
ISA가입자는 해당 계좌로 얻은 분배금/배당소득만큼 건강보험료를 추가 납부하셔야합니다. 
얼마전 외국소득공제법이 시행되어 해외투자의 세제혜택이 무효화가 되었죠.
발등에 불떨어진 건강보험공단이 배려를 모두 거둬들이면
ISA가입자가 받는 세제혜택은 국내외 배당상품 예외없이 무의미해집니다.

  ISA 계좌 한도가 확 늘었다지만.. 세제혜택 폐지로 자금융통 적신호 부각
이미 ISA계좌에 현금을 넣어두신 분들이라면  안타까운일이 아닐수가 없는데요  그이유는 
올해 2억으로 ISA 납입한도가 늘었습니다만 
세제혜택이 사라져 인출과 한도가 자유로운 종합계좌보다 나은 이점이 없고 
ISA계좌에 납입했던 돈을 다시 인출하는것이 양도소득세 부과로 불가능해
종합계좌보다 불리한 악조건이 되었습니다.  
자금융통의 단점을 커버했던 세제혜택이 2025년부터 돌연 축소 및 폐지되어버려
3년간 공들이며 ISA계좌를 가입한 이유가 없어진것입니다. 
 
 ISA만의 문제가 아니다? 해외펀드 투자한 연금저축계좌도 이중과세 대상
(올해 2월부터 ETF월배당 투자자 이중과세 피해 예상)
미국펀드 투자수단으로 각광받던  ISA의 과세이연 혜택이 없어져 그 도미노현상으로
노후부터 수령하게 되는 개인형 퇴직연금 IRP와 연금저축계좌에서 생기는 외국소득에 대해 
외국정부에 세금을 지불하고 또다시 국내에 연금소득세를 내는것으로 이중으로 세금을 직접부담해야합니다.
미국펀드 투자자는 연금계좌에 외국소득분이 생기면 외국정부로부터 최대이율 15%를 별도로 징수당하게 됩니다.
별다른 노동소득이 없는 퇴직자가 졸지에 세금을 2번 그것도 소득의  20%가량을 외국정부와 정부에 내는것이죠.. 
   연금저축계좌, IRP, DC 절세효과 축소 가능성
수령 나이부터 부담하는 기존 연금소득세율은 3.3%~5.5% 구간인데 
2025년부터 연금저축계좌와 IRP, DC는 배당소득에 대한 과세이연의 절세효과가 일부 삭감됨에 따라
추후 세제혜택이 하향될 가능성이 생겼습니다
연금세율의 추과 과세가 이뤄지면
연금계좌의 절세혜택은 사라지고 개인세금부담율이 올라갈 가능성을 고려해주시기 바랍니다.  
    직접투자계좌로 국내투자하는것이 오히려 노후에 세금을 덜냅니다. 
해외투자해서 노후에 홀로 20%가까이 이중과세를 당하기보다.
종합계좌에서 국내 투자하고 배당소득에서 15% 원천징수하는것이 상대적으로 세율부담이 적습니다.
직계가족이 있다면 연 배당소득2천이 넘어가는 종합과세자가 되더라도
인적공제까지 받을수있어서 1인가족보다 신혼부부가 되거나
가능한 다자녀 대가족을 구성하는것이 세제혜택에 유리합니다.

장기투자로 2천만원 이상 배당소득을 늘리는것을 목표를 잡아야 비로소 바람직하며
종합과세자가 목표일때 ISA 운용은 장기보유에 적절치 않습니다.
ISA 계좌는 단일투자보다 단기 파생투자용도에 적합하고
종소세 대상이 된다면 isa 연장이나 재가입이 불가합니다.
만약 세율에 신경쓰고싶지않아 만기를 길게잡았다면.
건보료 폭탄리스크도 같이 따라옵니다.

노년 세금폭탄과
중도매매없이 개별 단일투자로 장기보유를 하려면
가급적 ISA통장을 사용하지말고
종합통장과 연금저축계좌, IRP를 활용해야합니다.


 
 
 
 연금계좌 이중과세 논란, 140조 해외투자 펀드 날벼락/ ETF스토리 / 한국경제TV | Watch (msn.com) ETF(파생형 펀드) 투자하면 안되는이유.
은행 믿고 파생 투자했다가 '날벼락'…""노후자금 다 날릴 판"" (msn.com)
연금계좌 해외주식ETF 배당 이중과세 논란…정부, 대책 논의(종합) (msn.com)
기재부, '찾아가는 개정세법' 강의…2월 대한상의부터 시작 (newspim.com)"
퇴직연금(IRP계좌)을 어찌 운용할지 고민입니다.,https://cafe.daum.net/10in10/1pRl/1416067?q=irp,"갑작스런 퇴직(25년 근무)으로 퇴직연금(IRP계좌)약 250백만원을 어찌 운용해야할지 고민입니다.
현재 얼마 안되는 개인연금 수령중이고, 국민연금은 10년후 수령 예정입니다.(7월 재취업 예정)
65세까지는 일할 생각입니다.(참고로 집사람은 교직에 있어 공무원연금 수령 예정입니다.)
 선배님들 의견 부탁드립니다.
(댓글 미리 감사드립니다.)
  "
캐디는 irp 계좌가입이 어렵나요…???,https://cafe.daum.net/caddie1004/QLHH/23884?q=irp,Irp 계좌가 퇴직연금계좌인데 그러면 캐디는 개설도 안되는건가요…? ㅠ 어렵네요
퇴직급여제도 일시금 수령 IRP 설정 can/must?,https://cafe.daum.net/keedong/2m1L/161221?q=irp,"# 이곳은 자유게시판입니다. 
   * 스터디 모집 관련 글은 ""스터디 모집(참여)"" 게시판에 글을 남겨주시기 바랍니다.
   * 수험관련 매매 교환 관련 글은 해당 게시판에 글을 남겨주시기 바랍니다.  
 퇴직급여제도 일시금 수령 IRP 설정 의무 아니었나요?
할 수 있다 인가요?ㅠㅠ 아시는 분 알랴주시면 감사하겠습니다.."
퇴사할때 irp 계좌가 있어야 한다고 해서 알아보는데,https://cafe.daum.net/rocksoccer/ADrt/817529?q=irp,"55세 뒤에 쓰는 거 말고 바로 목돈으로 받는 거 등의
 나머지 방식은 세금이 쎄긴 하군요....
 은행 등도 웬만해선 거기서 거기로 보이고...ㅋ"
"""월급 60%를 연금저축·IRP에""… 벌써 노후 준비나선 2030 - 연금 상품에 관심 급증",https://cafe.daum.net/21ceta/VQD5/491?q=irp," ""월급 60%를 연금저축·IRP에""… 벌써 노후 준비나선 2030
연금 상품에 관심 급증
이혜운 기자 입력 2025.04.08. 00:33 조선일보
판교 대기업에서 정보 통신(IT) 엔지니어로 근무하는 박모(32)씨는 올 초부터 월급의 60% 이상을 연금저축 계좌와 IRP(개인형 퇴직연금)에 넣고 있다. 최근에는 은퇴 시점에 맞춰 포트폴리오를 조정하는 펀드인 TDF(타깃 데이트 펀드)도 공부 중이다. 안정된 직장에서 높은 연봉을 받는 그는 20대 때인 2019년 주식 투자를 시작하고 바로 코로나 시기의 출렁이던 시장을 경험하면서 은퇴 이후의 삶에 관심을 갖게 됐다. 박씨는 “코로나 시기에 가장 안정적인 수익률을 낸 투자처가 주가지수 ETF였다”며 “그 후 지금은 회사를 열심히 다니면서 월급을 받고, 그중 일정액을 연금에 넣어 안정적인 수익을 내는 게 최고라는 것을 깨달았다”고 말했다.
그래픽=양진경
◇MZ세대 연금 상품 관심 높아져
MZ세대 투자자들이 은퇴 시기가 가까워져야 연금에 관심을 두던 이전 세대와 달리 20·30대부터 은퇴 이후를 준비하는 연금 상품에 관심을 두고 있다. 7일 미래에셋증권에 따르면, 자사 고객 중 작년 IRP 가입자의 2022년 대비 증가율을 연령대별로 봤더니 20대가 201%로 가장 높았다. 그 뒤를 10대(140%), 30대(76%)가 이었다. IRP는 노후 자금을 자신이 원하는 대로 보관·운용할 수 있는 계좌다.
또 은퇴 후 노후 생활을 준비하기 위해 가입하는 상품인 연금저축펀드는 같은 기간 10대의 증가율이 253%로 가장 높았고, 그 뒤를 30대(71%), 40대(53%)가 이었다. 이동근 미래에셋투자와연금센터 연구원은 “몇 년 전만 해도 연금에 대한 젊은 층의 인식과 이해도가 낮았지만, 최근에는 다양한 경로로 정보를 습득하면서 30대 가입자가 2022년 한 해 수만 명대에서 작년 십 수만 명대로 급증했다”고 말했다.
업계에선 현재 2030세대는 어렸을 때 국제통화기금(IMF) 위기, 학창 시절에는 2008년 글로벌 금융 위기를 겪으며 이전 세대보다 노후 준비에 빨리 눈을 뜬 세대이기 때문이라고 해석한다. 부모 세대의 은퇴 문제나 경제적 어려움을 가까이서 보며 “나는 미리 준비해야겠다”는 생각을 많이 하게 됐다는 것이다. 최근 국민연금 개혁 이슈를 보며 ‘나는 국민연금을 제대로 못 받을 수 있다’는 불안감도 있다고 한다. 업계 관계자는 “2030세대는 정보 접근성이 좋고, 재테크나 자산 관리에 대한 관심이 높다 보니 유튜브·블로그 등을 통해 연금저축, IRP 같은 절세형 금융 상품 정보도 쉽게 접하고 실천한다”며 “정년 보장이 어렵고 자영업·프리랜서 비율도 많아지다 보니 스스로 미래를 준비하려는 심리가 강해 연금을 일종의 자기 미래에 대한 보험 같은 개념으로 받아들인다”고 말했다.
작년 말 서울 여의도에서 열린 KB자산운용의 연금 세미나에도 20·30대 참석자가 3분의 1이 넘었다. KB자산운용 관계자는 “그동안 기관 투자자 대상 세미나를 꾸준히 열다가 개인 투자자 대상 오프라인 세미나는 처음이었는데 젊은 층 신청자가 이렇게 많을 줄 몰랐다”고 말했다. 강연자로는 30대의 연금 투자를 전문적으로 다루는 유튜버 등이 나왔다.
◇2060년 은퇴를 준비하는 20대들
글로벌 증시 변동성이 확대되면서 은퇴 시점에 맞춰 자동으로 자산 배분을 조정해 주는 펀드 TDF의 젊은 층 가입자 수도 증가 추세다. 한국투자신탁운용의 최근 1년간 TDF 상품 증감액을 보면, 은퇴 시점을 2060년으로 잡는 상품이 1368억원으로 가장 많았고, 그다음이 2050년(991억원), 2055년(696억원) 순이었다. 2060년을 은퇴 시점으로 삼았다는 점에서 현재 가입자의 나이를 20대로 추정할 수 있고, 2050년과 2055년이라면 30대로 추정할 수 있다. 한투운용 관계자는 “지금부터 20~35년 후에 은퇴할 것을 가정하고 가입하는 것이라, 젊은 층이 은퇴 이후를 대비한 연금 투자에 관심이 많다는 걸 방증한다”고 말했다.
최근 TDF를 향한 관심이 증가하자 한투운용은 실시간 매매가 가능한 ETF 형태의 TDF를 출시하기도 했다. 한투운용 관계자는 “TDF에 대한 젊은 층의 관심이 커져, 보다 접근이 쉽도록 ETF 형태로 출시한 것”이라고 말했다.
이혜운 기자
이혜운 기자입니다.
21세기 영어교육연구회 / ㈜ 파우스트 칼리지
전 화 : (02)386-4802 / (02)384-3348
이메일 : faustcollege@naver.com / ceta211@naver.com
Cafe : http://cafe.daum.net/21ceta 21세기 영어교육연구회
Band : http://band.us/@ceta21 21세기 영어교육연구회
Blog : http://blog.naver.com/ceta211 21세기 영어교육연구회
Web-site : www.faustcollege.com (주)파우스트 칼리지"
“월급 60%를 연금저축·IRP에”… 벌써 노후 준비나선 2030,https://cafe.daum.net/dobongbak/NU7l/44459?q=irp,"“월급 60%를 연금저축·IRP에”… 벌써 노후 준비나선 2030
“월급 60%를 연금저축·IRP에”… 벌써 노후 준비나선 2030
연금 상품에 관심 급증 판교 대기업에서 정보 통신(IT) 엔지니어로 근무하는 박모(32)씨는 올 초부터 월급의 60% 이상을 연금저축 계좌와 IRP(개인형 퇴직연금)에 넣고 있다. 최근에는 은퇴 시점에
n.news.naver.com
 "
혹시 퇴직연금 irp계좌 아는사람??,https://cafe.daum.net/weareshower/ZEn5/6195177?q=irp," 나 궁물좀 받아주라 제발,,,"
