순번,제목,내용,사용자_정보,카페명,작성일,링크
1,irp etf 선택 추천 !,"""IRP 계좌에서 ETF도 살 수 있나요?"" ""연말정산 혜택도 받고, 직접 굴려보고 싶은데… 괜찮을까요?"" 요즘 연말정산을 준비하면서 IRP(개인형 퇴직연금) 계좌에 ETF를 담는 분들이 늘고 있어요. IRP는 원래 연금 목적이지만, ETF를 통해 직접 자산을 운용하면서 세액공제 + 장기 수익률까지 기대할 수 있는 매력적인 방법입니다. 그럼 지금부터, ETF 운용이 뭔지, 어떻게 시작하는지, 어떤...","급매물과 반값매매-부동산,창업 투자,구인구직,유통,라이프정보
1주 전",카페명 없음,날짜 없음,https://cafe.naver.com/bk1009/6482162?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImJrMTAwOSIsImFydGljbGVJZCI6NjQ4MjE2MiwiaXNzdWVkQXQiOjE3NTA3MjgyMTU5MTF9.kZmcnoYRa6GGWrn37fwy-LBZIEyWNTu5dm7kDnBQyaQ
2,irp 계좌 추천 자세히,"“연말정산 환급 좀 더 받으려면 IRP 계좌가 좋다던데?” “은행이랑 증권사 중에 어디가 나을까요?” 연금저축과 함께 소득공제 끝판왕이라 불리는 IRP(개인형 퇴직연금) 계좌, 요즘 진짜 많이들 가입하죠. 하지만 중요한 건, 어디에서 개설하느냐에 따라 운용 수수료, 상품 선택 폭, 사용 편의성까지 달라진다는 사실! 오늘은 계좌 추천 TOP 기관과 함께 선택 시 고려할 점, 가입 방법까지 깔끔히...","급매물과 반값매매-부동산,창업 투자,구인구직,유통,라이프정보
1주 전",카페명 없음,날짜 없음,https://cafe.naver.com/bk1009/6482147?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImJrMTAwOSIsImFydGljbGVJZCI6NjQ4MjE0NywiaXNzdWVkQXQiOjE3NTA3MjgyMTU5MTF9.3ycOJo0Wqv7yV0_U4yObXtdDO51dhCDyPCkyaWZG3y8
3,연금저축과 퇴직연금(irp) 궁금,안녕하세요 연금저축과 퇴직연금(irp) 궁금합니다. 1. 보통은 연금저축 600만원+퇴직연금 300만원 = 900만원을 많이 하시던데 2. 저는 올해부터 회사 퇴직연금(irp)은 월 50만원으로 연 600만원으로 채우고 있습니다. 추가로 연금저축을 300만원해서 총 합산하여 900만원을 채워서 세액공제를 받을려고 하는데요 1번과 2번의 장단점이 있을까요~? 미리 답변 감사합니다.,"미국 주식이 미래다
1주 전",카페명 없음,날짜 없음,https://cafe.naver.com/likeusstock/1254477?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Imxpa2V1c3N0b2NrIiwiYXJ0aWNsZUlkIjoxMjU0NDc3LCJpc3N1ZWRBdCI6MTc1MDcyODIxNTkxMX0.TmdabBfcL8fTAW2-SgeKS3yatXGE6Xu6Vfdbwu8gm-g
4,연금저축 추가..irp개설..그리고 isa,계속 연400만원만 불입했네요.. ISA계좌공부중 우연히 IRP계좌를 알아서.. 지금에라도 ISA계좌로 정퇴까지 월 50만원씩 ETF를 쭈욱 모으는게 나을까요? 아님 연저펀 연200추가넣고 irp 개설해서 연 300 넣어 etf를 정퇴까지 모으는게 나을까요? 하나 걸리는건 irp를 연금식으로 받으라하니 얼마 되지도 않는데..그게 걸리네요..,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
3일 전",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/284222?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6Mjg0MjIyLCJpc3N1ZWRBdCI6MTc1MDcyODIxNTkxMX0.0H4CipA3RPpIqwwXKmfBeQ0C967yh8K8iB99fHueOtI
5,개인 IRP 퇴직연금 계좌 관련 질문,"은행 : 하나은행 다들 개인 IRP 퇴직연금 어떻게 관리 하고 계시는지, ETF 종목 중에 구매 하고 싶은 종목이 있으나, 하나은행에서는 검색이 안됩니다, 원래 시중 은행에서 만들어진 IRP 계좌들만 그러는건지, 은행마다 다 다르는건지, 혹시 제테크 고수님들은 IRP 계좌를 어떻게 운영 하고 계시는지 팁좀 얻고자 합니다.. 감사합니다 (--) ( _ _) (--) 꾸벅","월급쟁이 재테크 연구카페(예금,적금,펀드,보험,CMA,주식,경매)
대표
2주 전",카페명 없음,날짜 없음,https://cafe.naver.com/onepieceholicplus/5547797?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im9uZXBpZWNlaG9saWNwbHVzIiwiYXJ0aWNsZUlkIjo1NTQ3Nzk3LCJpc3N1ZWRBdCI6MTc1MDcyODIxNTkxMX0.7DbHzUMQntvuzYvXjjLmXIJTs0Pg96-wypXrKYw9OvE
6,IRP계좌에서 슈드:나스닥 6대4 비율 맞추는 팁,"잼투리님 영상을 보고 슈드 : 나스닥 = 6 : 4 비율로 투자 중인데요 일반 계좌에서는 비율을 맞추기가 쉬운데, IRP 계좌는 안전자산 30% 의무 편입 때문에 비율 맞추기가 참 어렵더라고요. 고민 끝에... ✅ 결론 IRP 계좌에서도 위험자산은 슈드와 나스닥을 반반, 안전자산은 솔미채로 채우면, 복잡한 계산 없이도 6:4 비율 유지가 가능합니다. 매번 비중 계산하기 번거로우셨던 분들께 도움이 되길...","배당 투자자 모임
1주 전",카페명 없음,날짜 없음,https://cafe.naver.com/divclub/28319?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRpdmNsdWIiLCJhcnRpY2xlSWQiOjI4MzE5LCJpc3N1ZWRBdCI6MTc1MDcyODIxNTkxMX0.9dgDrBSTAthaTdb4XT7dwIiT7rCgxGjYD7-YEFJu2dM
7,퇴직 IRP 계좌 질문해요..,퇴직 IRP계좌에 관해 궁금한게 있어서 물어봅니다! 퇴직금 받을 IRP 계좌 하나 개설해서 회사로 사본 달라고 하시는데 제가 국민은행 개인 IRP계좌 있거든요.. 매달 10만원씩 넣고있어요. 1. 기존 IRP계좌랑(국민) 새로 IRP계좌 만드는 것 중 아무거나 해도 되는지?? 그냥 기존에 있던 계좌 줄려고 하는데 상관없나요? 퇴직금은 따로 목돈이 필요해서 뺄 예정인데.. 뺄떼는 세금 16%정도 뗀다고 해서요...,"직장인 탐구생활-입사퇴사,투잡,부당해고,직장내괴롭힘,실업급여
대표
1일 전",카페명 없음,날짜 없음,https://cafe.naver.com/workee/1254955?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6IndvcmtlZSIsImFydGljbGVJZCI6MTI1NDk1NSwiaXNzdWVkQXQiOjE3NTA3MjgyMTU5MTF9.ZrgLAOurERxHmaU1vLNVddu5rF88NTxeg7doi3sYKjA
8,"연금저축펀드, IRP, ISA에 대한 고민","작년 연말정산의 저주로 절세를 받기 위해 카페글을 열심히 눈팅하여 연금저축펀드와 IRP를 가입 했는데, 눈팅만으로는 한계가 있다는 생각이 들어 어설프지만 저의 고민을 써보고자 합니다. 1. 절세계좌 추가 불입 및 연금저축펀드 일반계좌 생성 후의 매수종목에 대한 고민 금년부터 절세계좌로 활용할 연금저축펀드+에 가입하여 매달 75만원씩 현재까지 375만원을 모았고, 이번달 중으로 나머지...","은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2주 전",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/280416?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjgwNDE2LCJpc3N1ZWRBdCI6MTc1MDcyODIxNTkxMX0.j__kaMdPqFptpIfwyvAyhymKHpJlR4uZWSkjicugTx8
9,"개인사업자분들 연금저축,irp,isa 전부 하시나요?","안녕하세요. 개인사업자분들 연금저축, irp , isa각각 세액공제 얼마가 최고인가요? 소득 상관없이 연금저축 + irp = 900만원 isa =2000만원 이렇게 넣으면 될지? ㅜㅜ 지금 노란우산 하고있습니다. irp는 작년에 급전빌요해서 해지했는데 올해다시 시작하려고 합니다.","미국 주식이 미래다
3주 전",카페명 없음,날짜 없음,https://cafe.naver.com/likeusstock/1246934?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Imxpa2V1c3N0b2NrIiwiYXJ0aWNsZUlkIjoxMjQ2OTM0LCJpc3N1ZWRBdCI6MTc1MDcyODIxNTkxMn0.dvcnI4mVwNLreqr9h34tYWRif5D1KGuOy2ebI15MAFU
10,개인형irp통장 개설하였는데요 궁금한게 있습니다,"국민은행에서 개인형irp통장 개설하였는데 수협은행 노후보장 정기예금 (DC/IRP,1년)수익률 0.13 이렇게 가입안내로 가입하였습니다 궁금한게.. 여기서 연금저축펀드를 매수할수있는건가요? IRP운용방식을 정기예금방식으로 개설하였기따문에 여기서는 연금펀드ETF매수가 안되는건가요? 너무너무 초보라... 이런것도 모르고 개설했습니다 하고 나서 공부하고 있는데 많이 어렵네요... 선배님들 좀 알려주세요","은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
1주 전",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/282600?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjgyNjAwLCJpc3N1ZWRBdCI6MTc1MDcyODIxNTkxMn0.S-bLxCxinuoPOT5w3RQpTINgFwHcTHyrWNEGVjfPHR0
11,나무증권에서 irp 쓰시는분들,혹시 내계좌조회에 들어가면 계좌목록에 irp 계좌도 보이시나요? 오늘가입했는데 cma isa 연금저축펀드 세개는 나오는데 irp는 가입했는데 안보여서요.. irp현황메뉴들어가면 가입은되어있네요,"미국 주식이 미래다
2주 전",카페명 없음,날짜 없음,https://cafe.naver.com/likeusstock/1248243?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Imxpa2V1c3N0b2NrIiwiYXJ0aWNsZUlkIjoxMjQ4MjQzLCJpc3N1ZWRBdCI6MTc1MDcyODIxNTkxMn0.EGD7ednyXi08Oo7ZDLo3Kp7s6yaVpJqwCVeREiQbhtY
12,irp개인연금에 대해서,만55세가 막 지났습니다 irp개인연금에 있는돈을 연금개시하고 그돈으로 소득공제 연금저축펀드에 다시넣는게 났는게 괜찮은 방법인가요? 운용을 못해서 원금입니다,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
6일 전",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/283243?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjgzMjQzLCJpc3N1ZWRBdCI6MTc1MDcyODIxNTkxMn0.n_7aVXXKgY451QXBXhlhI3cyIGvuNaSOA9LO3OuaXyQ
13,irp 증권사 추천해주실 수 있나요?,"isa가 만기되어서 irp로 딱 300만원만 이전하려고 합니다. 개인 irp계좌를 신규개설하려는데 증권사를 못 정하고 있어요 생각 중인 후보는 1.한국투자 2.나무증권(NH) 입니다. 이 두 증권사에 이미 isa/개인연금, 금계좌를 가지고 있어서요 우선 수수료는 비대면개설시에 전부 무료여서 상관 없을 것 같고요 진행중인 이벤트는 이렇습니다 1.한국투자 - 순입금이벤트 5000원+채권매수시 5000원 페이백 2....","월급쟁이 재테크 연구카페(예금,적금,펀드,보험,CMA,주식,경매)
대표
1주 전",카페명 없음,날짜 없음,https://cafe.naver.com/onepieceholicplus/5558436?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im9uZXBpZWNlaG9saWNwbHVzIiwiYXJ0aWNsZUlkIjo1NTU4NDM2LCJpc3N1ZWRBdCI6MTc1MDcyODIxNTkxMn0.aZh0HjlWTvPaQRMhqsSqRH0fWyV6kieVZJeHDjnweNU
14,irp추천종목 문의,"제목이 넘 포괄적이지만.. 연말에 900몰빵후 추가매수 안했다가 이제 매달 100씩 irp넣으려합니다 기존에는 타이거 s&p,타이거 미국다우존스, 미국채30년채권에 들었는데 수익률은 토탈-8프로입니다*_* 안전자산(30퍼)포함 irp에 넣으면 좋은 종목 추천 부탁드립니다 우선순위가 보다 연금저축 가입이 먼저인것 같은덕 손해만회하려면 올해는 900채우려고요","은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.05.16.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/274266?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6Mjc0MjY2LCJpc3N1ZWRBdCI6MTc1MDcyODIxNTkxMn0.kQtCtNSaLEd92O3blZuOJsbUnSi93VhqPgeyP5ZeTAM
15,얼마전에 퇴직하고 퇴직연금을 IRP로 가져왔는데요,"얼마전에 퇴사하고 DC형을 개인 IRP로 매도하지않고 실물이전으로 가져왔는데요 회사계좌로 있을때 snp500, 나스닥, 2050으로 전부 수익중이였거든요 몇프로 안되도 5프로이상이였는데 가져오고 조금 있다가 보니 IRP 전체 수익율이 -1.9%로 떨어졌길래 상품별로 보니 Snp500만 조금 -0.4%이고 나머지는 2%이상 수익중이거든요 근데 전체계좌에는 수익율이 더 떨어져있는데 왜그런지 알수 있나요? 그러니까...","미국 주식이 미래다
4주 전",카페명 없음,날짜 없음,https://cafe.naver.com/likeusstock/1244501?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Imxpa2V1c3N0b2NrIiwiYXJ0aWNsZUlkIjoxMjQ0NTAxLCJpc3N1ZWRBdCI6MTc1MDcyODIxNTkxMn0.wlz-LgDJsWNhfOApvvOH_8CCGmD5tSJFTNIvXvM_D84
16,irp 연금개시중일때,2023년에 퇴직금을 개인 irp에 입금하고 곧바로 연금개시하여 매년 10만원 인출하였는데요. 작년까지 증권사내 매니저가 관리하다가 수수료도 아깝고 해서 직접 관리중입니다. 올해 연금인출을 해야하는데 어떻게 해야하는건가요?,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
1주 전",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/282516?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjgyNTE2LCJpc3N1ZWRBdCI6MTc1MDcyODIxNTkxMn0.EgWpK2OdTJul-TSecZevyYDBSFZBBZV0YtCDaz4v2qY
17,IRP 설명해주실분~,"IRP라는게 있다는건 알고있었지만, 여력이 없어서 현재 연저펀만 하고있습니다. 매년 공제한도 600채워서 납입중인데, 최근 여력이좀 생겨서 IRP도 300채워볼까 생각중입니다. IRP라는게... 회사에서 퇴직금을 일정주기로(?) 입금해주는거 아닌가요..? 연저펀처럼 IRP계좌에 제가 300을 납입해야 세액공제를 받을 수 있는건지 궁금합니다. 회사에서 만들라고해서 만들긴했던거같은데.. 이걸 DC형으로...","한국/미국주식 : 장기투자를 지향하는 대표 주식카페
2025.05.20.",카페명 없음,날짜 없음,https://cafe.naver.com/pointns/517489?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InBvaW50bnMiLCJhcnRpY2xlSWQiOjUxNzQ4OSwiaXNzdWVkQXQiOjE3NTA3MjgyMTU5MTJ9.96aNNR9KUAFqFpyQUh9c5qwPffR2Bf1hH7z6V9ZeoPI
18,"연금저축펀드, irp 계좌 예수금 운용 방법","연금저축펀드나 irp계좌 예수금 운용 방법 문의드립니다. irp 계좌 예수금으로 600만원 있고, 연금저축펀드에 (최근 펀드 매도하여) 약 2500만원 있습니다. 올해말까지 분할매수할 용도인데요. 매주 정기적으로 (직접, 자동) 매수할 예정입니다. 몇몇 글에서 예수금 운용방법 말씀하셔서요. mmf, cd금리 etf, 파킹형etf 등 말씀하시던데 잘 몰라서.. 위 상품들은 제가 필요에 따라 일부씩 매도할 수...","은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2주 전",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/280679?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjgwNjc5LCJpc3N1ZWRBdCI6MTc1MDcyODIxNTkxMn0.DsZfdoH3E8AiF0X4KMUdnBRtyW3NhWDEOB-FivUX03s
